Kingdom,KingdomC,Phylum,PhylumC,Class,ClassC,Order,OrderC,Family,FamilyC,Genus,GenusC,Species,ScientificName,CommonNameC,CoaCode,CoaCType
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Buteo,鵟屬,buteo,Buteo buteo japonicus,鵟;普通鵟,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Butastur,鵟鷹屬,indicus,Butastur indicus,灰面鵟鷹;灰面鷲,II,珍貴稀有
Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Coleoptera,鞘翅目,Buprestidae,吉丁蟲科,Buprestis (Akiyamaia),吉丁蟲屬,mirabilis,Buprestis (Akiyamaia) mirabilis,妖艷吉丁蟲,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Squamata,有鱗目,Elapidae,蝙蝠蛇科,Bungarus,環蛇屬,multicinctus,Bungarus multicinctus,雨傘節;銀環蛇,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Scaridae,鸚哥魚科,Bolbometopon,隆頭鸚哥魚屬,muricatum,Bolbometopon muricatum,隆頭鸚哥魚;駝峰大鸚嘴魚;鸚哥,II,珍貴稀有
Animalia,動物界,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Coenobitidae,陸寄居蟹科,Birgus,椰子蟹屬,latro,Birgus latro,椰子蟹,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Balaenopteridae,鬚鯨科,Balaenoptera,鬚鯨屬,physalus,Balaenoptera physalus,長鬚鯨,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Balaenopteridae,鬚鯨科,Balaenoptera,鬚鯨屬,omurai,Balaenoptera omurai,大村鯨,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Balaenopteridae,鬚鯨科,Balaenoptera,鬚鯨屬,musculus,Balaenoptera musculus,藍鯨,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Balaenopteridae,鬚鯨科,Balaenoptera,鬚鯨屬,edeni,Balaenoptera edeni,鯷鯨,I,瀕臨滅絕
